 Number	Time[sec]	CO2_Air[ppm]	TempAir[C]	Wind[m/s]	WaterHeight[mm]	pOxyAbs[bar]
      0	     0.00	      322.51	    23.94	      0.00	          78.96	        1.00
      1	     8.10	      322.51	    23.93	      0.00	          79.00	        1.00
      2	    16.20	      322.75	    23.93	      0.00	          78.96	        1.00
      3	    24.30	      322.51	    23.93	      0.00	          78.96	        1.00
      4	    32.40	      321.53	    23.93	      0.00	          78.96	        1.00
      5	    40.50	      321.53	    23.93	      0.00	          78.93	        1.00
      6	    48.60	      321.53	    23.92	      0.00	          78.93	        1.00
      7	    56.70	      321.53	    23.93	      0.00	          78.89	        1.00
      8	    64.80	      321.53	    23.92	      0.00	          78.89	        1.00
      9	    72.90	      321.53	    23.91	      0.00	          78.89	        1.00
     10	    81.00	      321.53	    23.92	      0.00	          78.85	        1.00
     11	    89.10	      321.53	    23.91	      0.00	          78.85	        1.00
     12	    97.20	      321.53	    23.92	      0.00	          78.85	        1.00
     13	   105.30	      321.53	    23.90	      0.00	          78.89	        1.00
     14	   113.40	      321.53	    23.90	      0.00	          78.85	        1.00
     15	   121.50	      321.53	    23.90	      0.00	          78.81	        1.00
     16	   129.60	      321.53	    23.90	      0.00	          78.81	        1.00
     17	   137.70	      322.51	    23.90	      0.00	          78.77	        1.00
     18	   145.80	      322.51	    23.90	      0.00	          78.81	        1.00
     19	   153.90	      322.51	    23.90	      0.00	          78.77	        1.00
     20	   162.00	      322.51	    23.90	      0.00	          78.81	        1.00
     21	   170.10	      322.51	    23.90	      0.00	          78.85	        1.00
     22	   178.20	      322.51	    23.90	      0.00	          78.81	        1.00
     23	   186.30	      321.53	    23.90	      0.00	          78.81	        1.00
     24	   194.40	      321.53	    23.89	      0.00	          78.85	        1.00
     25	   202.50	      321.53	    23.90	      0.00	          78.81	        1.00
     26	   210.60	      321.78	    23.89	      0.00	          78.85	        1.00
     27	   218.70	      321.53	    23.88	      0.00	          78.85	        1.00
     28	   226.80	      321.53	    23.89	      0.00	          78.73	        1.00
     29	   237.38	      321.53	    23.88	      0.00	          78.73	        1.00
     30	   245.48	      321.53	    23.87	      0.00	          78.73	        1.00
     31	   257.22	      321.53	    23.87	      0.00	          78.73	        1.00
     32	   265.32	      321.53	    23.87	      0.00	          78.73	        1.00
     33	   273.42	      321.53	    23.87	      0.00	          78.77	        1.00
     34	   281.52	      321.04	    23.87	      0.00	          78.73	        1.00
     35	   289.62	      321.04	    23.87	      0.00	          78.73	        1.00
     36	   297.72	      321.04	    23.87	      0.00	          78.73	        1.00
     37	   305.82	      320.07	    23.87	      0.00	          78.69	        1.00
     38	   313.92	      320.07	    23.87	      0.00	          78.73	        1.00
     39	   322.02	      318.85	    23.87	      0.00	          78.66	        1.00
     40	   330.12	      319.09	    23.87	      0.00	          78.73	        1.00
     41	   338.22	      318.85	    23.87	      0.00	          78.73	        1.00
     42	   346.32	      319.09	    23.86	      0.00	          78.62	        1.00
