 Number	Time[sec]	Conduct[uS]	TempWater[C]
      0	     0.00	       0.34	      22.60	
      1	     8.10	       0.34	      22.60	
      2	    22.88	       0.34	      22.60	
      3	    30.98	       0.34	      22.60	
      4	    39.08	       0.34	      22.60	
      5	    47.18	       0.35	      22.60	
      6	    55.28	       0.35	      22.70	
      7	    63.38	       0.35	      22.70	
      8	    71.48	       0.35	      22.70	
      9	    79.58	       0.35	      22.70	
     10	    87.68	       0.35	      22.70	
     11	    95.78	       0.35	      22.70	
     12	   103.88	       0.35	      22.70	
     13	   111.98	       0.35	      22.70	
     14	   120.08	       0.36	      22.70	
     15	   128.18	       0.36	      22.70	
     16	   136.28	       0.36	      22.70	
     17	   144.38	       0.36	      22.70	
     18	   152.48	       0.36	      22.70	
     19	   160.58	       0.36	      22.70	
     20	   168.68	       0.36	      22.70	
     21	   176.78	       0.36	      22.70	
     22	   184.88	       0.36	      22.70	
     23	   192.98	       0.36	      22.70	
     24	   201.08	       0.37	      22.70	
     25	   209.18	       0.37	      22.70	
     26	   217.28	       0.37	      22.70	
     27	   225.38	       0.37	      22.70	
     28	   233.48	       0.37	      22.70	
     29	   241.58	       0.37	      22.70	
     30	   249.68	       0.38	      22.70	
     31	   257.78	       0.38	      22.70	
     32	   265.88	       0.38	      22.70	
     33	   273.98	       0.38	      22.70	
     34	   282.08	       0.38	      22.70	
     35	   290.18	       0.38	      22.70	
     36	   298.28	       0.38	      22.70	
     37	   306.38	       0.38	      22.70	
     38	   314.48	       0.39	      22.70	
     39	   322.58	       0.39	      22.80	
     40	   330.68	       0.39	      22.80	
     41	   338.78	       0.39	      22.80	
     42	   346.88	       0.39	      22.80	
     43	   354.98	       0.39	      22.80	
     44	   363.08	       0.40	      22.80	
     45	   371.18	       0.40	      22.80	
     46	   379.28	       0.40	      22.80	
     47	   387.38	       0.40	      22.80	
     48	   395.48	       0.40	      22.80	
     49	   403.58	       0.40	      22.80	
     50	   411.68	       0.40	      22.80	
     51	   419.78	       0.40	      22.80	
     52	   427.88	       0.40	      22.80	
     53	   435.98	       0.40	      22.80	
     54	   444.08	       0.40	      22.80	
     55	   452.18	       0.40	      22.80	
     56	   460.28	       0.40	      22.80	
     57	   468.38	       0.40	      22.80	
     58	   476.48	       0.35	      22.90	
     59	   484.58	       0.36	      22.70	
     60	   492.68	      45.20	      22.70	
     61	   500.78	      43.50	      22.50	
     62	   508.88	      48.30	      22.50	
     63	   516.98	      43.10	      22.50	
     64	   525.08	      46.90	      22.50	
     65	   533.18	      44.00	      22.50	
     66	   541.28	      46.80	      22.50	
     67	   549.38	      45.10	      22.50	
     68	   557.48	      46.00	      22.50	
     69	   565.58	      44.60	      22.50	
     70	   573.68	      45.30	      22.50	
     71	   581.78	      45.10	      22.50	
     72	   589.88	      44.90	      22.50	
     73	   597.98	      45.50	      22.50	
     74	   606.08	      45.30	      22.50	
     75	   614.18	      45.50	      22.50	
     76	   622.28	      45.10	      22.50	
     77	   630.38	      45.30	      22.50	
     78	   638.48	      45.10	      22.50	
     79	   646.58	      45.30	      22.50	
     80	   654.68	      45.20	      22.50	
     81	   662.78	      45.30	      22.50	
     82	   670.88	      45.10	      22.50	
     83	   678.98	      45.20	      22.50	
     84	   687.08	      45.10	      22.50	
     85	   695.18	      45.20	      22.50	
     86	   703.28	      45.20	      22.50	
     87	   711.38	      45.20	      22.50	
     88	   719.48	      45.20	      22.50	
     89	   727.58	      45.10	      22.50	
     90	   735.68	      45.10	      22.50	
     91	   743.78	      45.10	      22.50	
     92	   751.88	      45.10	      22.50	
     93	   759.98	      45.10	      22.50	
     94	   768.08	      45.10	      22.50	
     95	   776.18	      45.10	      22.50	
     96	   784.28	      45.10	      22.50	
     97	   792.38	      45.10	      22.60	
     98	   800.48	      45.10	      22.60	
     99	   808.58	      45.10	      22.60	
    100	   816.68	      45.10	      22.60	
    101	   824.78	      45.10	      22.60	
    102	   832.88	      45.10	      22.60	
    103	   840.98	      45.00	      22.60	
    104	   849.08	      45.00	      22.60	
    105	   857.18	      45.00	      22.60	
    106	   865.28	      45.00	      22.60	
    107	   873.38	      45.00	      22.60	
    108	   881.48	      44.90	      22.60	
    109	   889.58	      44.80	      22.60	
    110	   897.68	      44.20	      22.60	
    111	   905.78	      43.00	      22.60	
    112	   913.88	      42.40	      22.60	
    113	   921.98	      41.50	      22.60	
    114	   930.08	      39.60	      22.60	
    115	   938.18	      38.20	      22.60	
    116	   946.28	      35.60	      22.60	
    117	   954.38	      34.30	      22.60	
    118	   962.48	      31.60	      22.60	
    119	   970.58	      28.50	      22.60	
    120	   978.68	      28.20	      22.60	
    121	   986.78	      26.30	      22.60	
    122	   994.88	      22.60	      22.60	
    123	  1002.98	      21.50	      22.60	
    124	  1011.08	      19.31	      22.60	
    125	  1019.18	      18.16	      22.60	
    126	  1027.28	      17.87	      22.60	
    127	  1035.38	      17.86	      22.60	
    128	  1043.48	      17.86	      22.60	
    129	  1051.58	      17.88	      22.60	
    130	  1059.68	      17.88	      22.60	
    131	  1067.78	      17.88	      22.60	
    132	  1075.88	      17.90	      22.60	
    133	  1083.98	      17.91	      22.60	
    134	  1092.08	      17.94	      22.60	
    135	  1100.18	      17.95	      22.60	
    136	  1108.28	      17.97	      22.60	
    137	  1116.38	      18.00	      22.60	
    138	  1124.48	      18.01	      22.60	
    139	  1132.58	      18.02	      22.60	
    140	  1140.68	      18.04	      22.60	
    141	  1148.78	      18.06	      22.60	
    142	  1156.88	      18.08	      22.60	
    143	  1164.98	      18.10	      22.70	
    144	  1173.08	      18.10	      22.70	
    145	  1181.18	      18.13	      22.70	
    146	  1189.28	      18.14	      22.70	
    147	  1197.38	      18.17	      22.70	
    148	  1205.48	      18.18	      22.70	
    149	  1213.58	      18.19	      22.70	
    150	  1221.68	      18.21	      22.70	
    151	  1229.78	      18.21	      22.70	
    152	  1237.88	      18.23	      22.70	
    153	  1245.98	      18.26	      22.70	
    154	  1254.08	      18.27	      22.70	
    155	  1262.18	      18.28	      22.70	
    156	  1270.28	      18.31	      22.70	
    157	  1278.38	      18.32	      22.70	
    158	  1286.48	      18.33	      22.70	
    159	  1294.58	      18.34	      22.70	
    160	  1302.68	      18.37	      22.70	
    161	  1310.78	      18.40	      22.70	
    162	  1318.88	      18.40	      22.70	
