 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
0.000000 	339.320007 	0.000000 	0.000000 	0.000000 	0.000000 	-1.#IND00 	-1.#IND00 	
1.000000 	339.690002 	-4.009984 	84.538887 	-0.770956 	-0.016494 	-1.#IND00 	-1.#IND00 	
2.000000 	340.070007 	-4.128908 	85.687500 	-0.783697 	0.023437 	-1.#IND00 	-1.#IND00 	
3.000000 	340.450012 	-4.225953 	86.798607 	-0.766000 	0.005036 	-1.#IND00 	-1.#IND00 	
4.000000 	340.829987 	-4.236631 	88.006943 	-0.773792 	0.011806 	-1.#IND00 	-1.#IND00 	
5.000000 	341.209991 	-4.397222 	90.109718 	-0.869505 	-0.063889 	-1.#IND00 	-1.#IND00 	
6.000000 	341.589996 	-4.326648 	91.343056 	-0.857729 	-0.071179 	-1.#IND00 	-1.#IND00 	
7.000000 	341.959991 	-4.173177 	92.058334 	-0.777355 	-0.036979 	-1.#IND00 	-1.#IND00 	
8.000000 	342.339996 	-4.095833 	92.820831 	-0.731160 	-0.042188 	-1.#IND00 	-1.#IND00 	
9.000000 	342.720001 	-4.076736 	93.523613 	-0.704589 	-0.009549 	-1.#IND00 	-1.#IND00 	
10.000000 	343.100006 	-4.007639 	94.238892 	-0.619323 	0.089236 	-1.#IND00 	-1.#IND00 	
11.000000 	343.480011 	-4.064581 	94.908333 	-0.655615 	0.061460 	-1.#IND00 	-1.#IND00 	
12.000000 	343.859985 	-4.054428 	95.245834 	-0.742029 	0.045312 	-1.#IND00 	-1.#IND00 	
13.000000 	344.230011 	-3.987327 	95.213890 	-0.735085 	0.081423 	-1.#IND00 	-1.#IND00 	
14.000000 	344.609985 	-3.961371 	95.115280 	-0.645169 	0.104513 	-1.#IND00 	-1.#IND00 	
15.000000 	344.989990 	-3.963629 	95.022224 	-0.578200 	0.185591 	-1.#IND00 	-1.#IND00 	
16.000000 	345.369995 	-3.955643 	94.973610 	-0.613828 	0.186806 	-1.#IND00 	-1.#IND00 	
17.000000 	345.750000 	-3.840625 	94.900002 	-0.666848 	0.123438 	-1.#IND00 	-1.#IND00 	
18.000000 	346.130005 	-3.821876 	94.800003 	-0.734240 	0.055730 	-1.#IND00 	-1.#IND00 	
19.000000 	346.500000 	-3.843490 	94.670837 	-0.725182 	0.086458 	-1.#IND00 	-1.#IND00 	
20.000000 	346.880005 	-3.823784 	94.459724 	-0.640700 	0.132465 	-1.#IND00 	-1.#IND00 	
21.000000 	347.260010 	-3.922569 	94.681946 	-0.723792 	0.050868 	-1.#IND00 	-1.#IND00 	
22.000000 	347.640015 	-3.932552 	94.820831 	-0.678442 	0.094270 	-1.#IND00 	-1.#IND00 	
23.000000 	348.019989 	-4.142187 	96.262497 	-0.745653 	0.086458 	-1.#IND00 	-1.#IND00 	
24.000000 	348.390015 	-3.540191 	95.497223 	-0.352114 	0.387153 	-1.#IND00 	-1.#IND00 	
25.000000 	348.769989 	-2.491319 	94.781944 	0.624578 	1.310243 	-1.#IND00 	-1.#IND00 	
26.000000 	349.149994 	-1.938108 	94.426392 	1.020893 	1.730903 	-1.#IND00 	-1.#IND00 	
27.000000 	349.529999 	-1.609549 	94.123611 	1.207367 	1.964409 	-1.#IND00 	-1.#IND00 	
28.000000 	349.899994 	-1.558767 	94.273613 	1.270411 	2.054515 	-1.#IND00 	-1.#IND00 	
29.000000 	350.279999 	-1.541753 	94.397224 	1.279409 	2.000695 	-1.#IND00 	-1.#IND00 	
30.000000 	350.660004 	-1.396355 	94.141670 	1.362137 	2.065624 	-1.#IND00 	-1.#IND00 	
31.000000 	351.040009 	-1.324479 	94.441666 	1.372464 	2.145833 	-1.#IND00 	-1.#IND00 	
32.000000 	351.420013 	-1.374132 	94.431946 	1.270773 	2.087327 	-1.#IND00 	-1.#IND00 	
33.000000 	351.790009 	-1.495747 	94.452782 	1.151569 	1.982118 	-1.#IND00 	-1.#IND00 	
34.000000 	352.170013 	-1.463542 	94.391670 	1.218115 	2.006250 	-1.#IND00 	-1.#IND00 	
35.000000 	352.549988 	-1.531425 	94.423607 	1.173672 	1.960245 	-1.#IND00 	-1.#IND00 	
36.000000 	352.929993 	-1.580728 	94.916664 	1.203985 	2.014583 	-1.#IND00 	-1.#IND00 	
37.000000 	353.299988 	-1.504776 	95.205559 	1.315639 	2.105381 	-1.#IND00 	-1.#IND00 	
38.000000 	353.679993 	-1.302343 	94.974998 	1.475002 	2.251563 	-1.#IND00 	-1.#IND00 	
39.000000 	354.059998 	-1.344880 	94.809723 	1.414733 	2.091317 	-1.#IND00 	-1.#IND00 	
40.000000 	354.429993 	-1.317710 	94.708336 	1.469384 	2.044270 	-1.#IND00 	-1.#IND00 	
41.000000 	354.809998 	-1.356509 	95.391663 	1.515399 	2.073958 	-1.#IND00 	-1.#IND00 	
42.000000 	355.190002 	-1.284895 	95.195831 	1.469384 	2.059374 	-1.#IND00 	-1.#IND00 	
43.000000 	355.570007 	-1.328819 	94.956947 	1.428926 	2.105035 	-1.#IND00 	-1.#IND00 	
44.000000 	355.940002 	-1.320053 	95.083336 	1.331885 	2.140104 	-1.#IND00 	-1.#IND00 	
45.000000 	356.320007 	-1.282812 	95.412498 	1.379348 	2.145833 	-1.#IND00 	-1.#IND00 	
46.000000 	356.700012 	-1.253299 	95.173615 	1.469323 	2.165451 	-1.#IND00 	-1.#IND00 	
47.000000 	357.079987 	-1.366146 	95.133331 	1.433514 	2.093228 	-1.#IND00 	-1.#IND00 	
48.000000 	357.450012 	-1.344617 	95.155556 	1.381402 	2.086112 	-1.#IND00 	-1.#IND00 	
49.000000 	357.829987 	-1.283680 	95.080559 	1.453140 	2.230902 	-1.#IND00 	-1.#IND00 	
50.000000 	358.209991 	-1.272395 	95.108330 	1.498188 	2.193750 	-1.#IND00 	-1.#IND00 	
51.000000 	358.579987 	-1.327951 	95.401390 	1.505677 	2.163717 	-1.#IND00 	-1.#IND00 	
52.000000 	358.959991 	-1.214150 	95.318054 	1.541184 	2.167361 	-1.#IND00 	-1.#IND00 	
53.000000 	359.339996 	-1.206598 	95.459724 	1.529409 	2.141319 	-1.#IND00 	-1.#IND00 	
54.000000 	359.709991 	-1.350608 	95.463890 	1.423612 	2.063195 	-1.#IND00 	-1.#IND00 	
55.000000 	360.089996 	-1.412500 	95.662498 	1.361413 	2.029167 	-1.#IND00 	-1.#IND00 	
56.000000 	360.470001 	-1.330470 	98.312500 	1.711412 	2.332812 	-1.#IND00 	-1.#IND00 	
57.000000 	360.850006 	-1.330382 	97.519447 	1.494142 	2.085243 	-1.#IND00 	-1.#IND00 	
58.000000 	361.220001 	-1.318055 	96.255554 	1.424336 	2.107986 	-1.#IND00 	-1.#IND00 	
59.000000 	361.600006 	-1.329339 	96.015274 	1.487441 	2.070661 	-1.#IND00 	-1.#IND00 	
60.000000 	361.980011 	-1.375001 	96.650002 	1.488044 	2.136979 	-1.#IND00 	-1.#IND00 	
61.000000 	362.350006 	-1.217362 	96.323608 	1.622584 	2.230555 	-1.#IND00 	-1.#IND00 	
62.000000 	362.730011 	-1.301737 	96.211113 	1.420955 	2.097742 	-1.#IND00 	-1.#IND00 	
63.000000 	363.109985 	-1.294096 	96.122223 	1.460930 	2.144965 	-1.#IND00 	-1.#IND00 	
64.000000 	363.480011 	-1.210155 	95.875000 	1.559784 	2.277606 	-1.#IND00 	-1.#IND00 	
65.000000 	363.859985 	-1.164671 	95.801392 	1.535568 	2.261632 	-1.#IND00 	-1.#IND00 	
