        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-37.838982	
1.000000	8.100000	-39.284317	
2.000000	16.200001	-40.637318	
3.000000	24.299999	-42.311943	
4.000000	32.400002	-44.516766	
5.000000	40.500000	-46.141438	
6.000000	48.599998	-47.974304	
7.000000	56.700001	-48.430332	
8.000000	64.800003	-51.645786	
9.000000	72.900002	-52.756279	
10.000000	81.000000	-53.726391	
11.000000	89.099998	-55.736973	
12.000000	97.199997	-57.228359	
13.000000	105.300003	-56.457275	
14.000000	113.400002	-58.509853	
15.000000	121.500000	-59.527748	
16.000000	129.600006	-60.628559	
17.000000	137.699997	-62.088718	
18.000000	145.800003	-63.594883	
19.000000	153.899994	-65.869667	
20.000000	162.000000	-64.608765	
21.000000	170.100006	-65.913528	
22.000000	178.199997	-67.391960	
23.000000	186.300003	-68.438736	
24.000000	194.399994	-71.454163	
25.000000	202.500000	-73.628746	
26.000000	210.600006	-73.994827	
27.000000	218.699997	-74.863045	
28.000000	226.800003	-76.152916	
29.000000	237.380005	-81.296822	
30.000000	245.479996	-79.435387	
31.000000	257.220001	-80.311348	
32.000000	265.320007	-81.963348	
33.000000	273.420013	-84.203552	
34.000000	281.519989	-85.773613	
35.000000	289.619995	-84.468399	
36.000000	297.720001	-89.826042	
37.000000	305.820007	-99.079910	
38.000000	313.920013	-132.464096	
39.000000	322.019989	-199.874527	
40.000000	330.119995	-127.790680	
41.000000	338.220001	-119.405769	
42.000000	346.320007	-124.423386	
43.000000	354.420013	-122.159821	
44.000000	362.519989	-113.140411	
45.000000	370.619995	-44.006474	
46.000000	378.720001	-130.391205	
47.000000	386.820007	-145.269669	
48.000000	394.920013	-135.108185	
49.000000	403.019989	-149.530197	
50.000000	411.119995	-160.021225	
51.000000	419.220001	-161.636932	
52.000000	427.320007	-170.739594	
53.000000	435.420013	-150.684494	
54.000000	443.519989	-139.403152	
55.000000	453.570007	-382.965424	
56.000000	461.670013	-141.037979	
57.000000	469.769989	4322.250000	
58.000000	477.869995	179.344604	
59.000000	485.970001	21.450800	
60.000000	494.070007	-0.024662	
61.000000	502.170013	0.064069	
62.000000	510.269989	-0.066179	
63.000000	518.369995	0.081311	
64.000000	526.469971	-0.038823	
