 Number	Time[sec]	CO2_Air[ppm]	TempAir[C]	Wind[m/s]	WaterHeight[mm]	pOxyAbs[bar]
      0	     0.00	      310.79	    22.59	      0.00	          82.05	        1.00
      1	     8.10	      310.79	    22.59	      0.00	          82.13	        1.00
      2	    16.90	      309.57	    22.59	      0.00	          82.09	        1.00
      3	    68.51	      310.79	    22.60	      0.00	          82.28	        1.00
      4	    76.61	      310.55	    22.59	      0.00	          82.36	        1.00
      5	    84.71	      310.79	    22.59	      0.00	          82.32	        1.00
      6	    92.81	      310.55	    22.60	      0.00	          82.52	        1.00
      7	   100.91	      311.77	    22.60	      0.00	          82.44	        1.00
      8	   109.01	      311.52	    22.60	      0.00	          82.32	        1.00
      9	   117.11	      310.55	    22.60	      0.00	          82.52	        1.00
     10	   125.21	      310.55	    22.59	      0.00	          82.52	        1.00
     11	   133.31	      310.55	    22.60	      0.00	          82.48	        1.00
     12	   141.41	      310.79	    22.60	      0.00	          82.55	        1.00
     13	   149.51	      310.55	    22.60	      0.00	          82.55	        1.00
     14	   157.61	      310.55	    22.60	      0.00	          82.55	        1.00
     15	   165.71	      310.55	    22.60	      0.00	          82.59	        1.00
     16	   173.81	      310.55	    22.60	      0.00	          82.67	        1.00
     17	   181.91	      310.55	    22.60	      0.00	          82.75	        1.00
     18	   190.01	      310.79	    22.60	      0.00	          82.79	        1.00
     19	   198.11	      310.55	    22.60	      0.00	          82.79	        1.00
     20	   206.21	      310.79	    22.60	      0.00	          82.79	        1.00
     21	   214.31	      310.55	    22.60	      0.00	          82.94	        1.00
     22	   222.41	      310.55	    22.60	      0.00	          82.86	        1.00
     23	   230.51	      310.55	    22.60	      0.00	          82.94	        1.00
     24	   238.61	      310.55	    22.60	      0.00	          82.79	        1.00
     25	   246.71	      310.55	    22.60	      0.00	          82.86	        1.00
     26	   254.81	      310.55	    22.60	      0.00	          82.90	        1.00
     27	   262.91	      310.79	    22.60	      0.00	          82.94	        1.00
     28	   271.01	      310.55	    22.60	      0.00	          82.90	        1.00
     29	   279.11	      310.55	    22.60	      0.00	          82.98	        1.00
     30	   287.21	      309.57	    22.60	      0.00	          82.94	        1.00
     31	   303.20	      309.57	    22.60	      0.00	          83.02	        1.00
     32	   311.30	      309.57	    22.60	      0.00	          83.02	        1.00
     33	   319.40	      309.57	    22.60	      0.00	          83.09	        1.00
     34	   327.50	      309.57	    22.60	      0.00	          82.98	        1.00
     35	   335.60	      309.57	    22.61	      0.00	          83.09	        1.00
     36	   343.70	      309.57	    22.60	      0.00	          83.17	        1.00
     37	   351.80	      309.57	    22.61	      0.00	          83.06	        1.00
     38	   359.90	      309.57	    22.61	      0.00	          83.21	        1.00
     39	   368.00	      309.57	    22.61	      0.00	          83.13	        1.00
     40	   381.01	      309.57	    22.61	      0.00	          83.13	        1.00
     41	   389.11	      309.57	    22.61	      0.00	          83.09	        1.00
     42	   397.21	      308.35	    22.61	      0.00	          83.25	        1.00
     43	   405.31	      308.35	    22.62	      0.00	          83.13	        1.00
     44	   420.83	      308.35	    22.62	      0.00	          83.13	        1.00
     45	   428.93	      308.35	    22.62	      0.00	          83.17	        1.00
     46	   437.03	      308.59	    22.62	      0.00	          83.25	        1.00
     47	   445.13	      308.35	    22.62	      0.00	          83.25	        1.00
     48	   453.23	      308.35	    22.61	      0.00	          83.25	        1.00
     49	   461.33	      308.59	    22.62	      0.00	          83.25	        1.00
     50	   469.43	      309.33	    22.62	      0.00	          83.33	        1.00
     51	   477.53	      309.57	    22.62	      0.00	          83.25	        1.00
     52	   485.63	      309.57	    22.62	      0.00	          83.29	        1.00
     53	   493.73	      309.57	    22.62	      0.00	          83.13	        1.00
     54	   501.83	      310.55	    22.63	      0.00	          83.29	        1.00
     55	   509.93	      310.79	    22.62	      0.00	          83.29	        1.00
     56	   518.03	      310.55	    22.62	      0.00	          83.29	        1.00
     57	   526.13	      310.79	    22.62	      0.00	          83.29	        1.00
     58	   534.23	      311.77	    22.63	      0.00	          83.33	        1.00
     59	   542.33	      311.77	    22.63	      0.00	          83.29	        1.00
     60	   550.43	      311.77	    22.63	      0.00	          83.40	        1.00
     61	   558.53	      311.77	    22.63	      0.00	          83.33	        1.00
     62	   566.63	      311.77	    22.63	      0.00	          83.44	        1.00
     63	   574.73	      311.77	    22.63	      0.00	          83.36	        1.00
     64	   582.83	      311.77	    22.64	      0.00	          83.48	        1.00
     65	   590.93	      311.52	    22.63	      0.00	          83.40	        1.00
     66	   599.03	      311.52	    22.63	      0.00	          83.44	        1.00
     67	   607.13	      312.74	    22.64	      0.00	          83.40	        1.00
     68	   615.23	      312.74	    22.64	      0.00	          83.33	        1.00
     69	   623.33	      312.74	    22.63	      0.00	          83.44	        1.00
     70	   631.43	      312.74	    22.63	      0.00	          83.44	        1.00
     71	   639.53	      312.74	    22.63	      0.00	          83.40	        1.00
     72	   647.63	      312.99	    22.64	      0.00	          83.44	        1.00
     73	   655.73	      312.74	    22.63	      0.00	          83.40	        1.00
     74	   663.83	      312.74	    22.64	      0.00	          83.52	        1.00
     75	   671.93	      312.74	    22.64	      0.00	          83.48	        1.00
     76	   680.03	      312.74	    22.64	      0.00	          83.40	        1.00
     77	   688.13	      312.74	    22.64	      0.00	          83.44	        1.00
     78	   696.23	      312.74	    22.64	      0.00	          83.36	        1.00
     79	   704.33	      312.74	    22.64	      0.00	          83.52	        1.00
     80	   713.06	      312.74	    22.64	      0.00	          83.29	        1.00
     81	   721.17	      312.74	    22.65	      0.00	          83.36	        1.00
     82	   730.22	      312.74	    22.65	      0.00	          83.36	        1.00
     83	   738.32	      312.74	    22.64	      0.00	          83.48	        1.00
     84	   746.42	      312.74	    22.65	      0.00	          83.48	        1.00
     85	   754.58	      313.23	    22.65	      0.00	          83.56	        1.00
     86	   762.68	      312.74	    22.64	      0.00	          83.48	        1.00
     87	   770.78	      312.74	    22.65	      0.00	          83.56	        1.00
     88	   778.88	      312.74	    22.66	      0.00	          83.60	        1.00
     89	   786.98	      312.74	    22.66	      2.70	          83.94	        1.00
     90	   795.08	      312.74	    22.66	      5.68	          83.52	        1.00
     91	   803.18	      312.74	    22.68	      5.78	          83.36	        1.00
     92	   811.28	      312.74	    22.68	      5.77	          83.33	        1.00
     93	   819.38	      312.74	    22.69	      5.76	          83.25	        1.00
     94	   827.48	      312.74	    22.70	      5.82	          83.29	        1.00
     95	   835.58	      313.96	    22.70	      5.85	          83.06	        1.00
     96	   843.68	      313.96	    22.71	      5.83	          82.63	        1.00
     97	   851.78	      313.72	    22.71	      5.90	          81.24	        1.00
     98	   859.88	      313.96	    22.70	      5.88	          84.06	        1.00
     99	   867.98	      313.96	    22.71	      5.89	          83.48	        1.00
    100	   876.08	      313.96	    22.71	      5.88	          81.82	        1.00
    101	   884.18	      314.45	    22.71	      5.93	          83.83	        1.00
    102	   892.28	      314.45	    22.70	      5.94	          83.13	        1.00
    103	   908.62	      316.41	    22.71	      5.92	          82.48	        1.00
    104	   916.72	      319.82	    22.71	      5.91	          83.33	        1.00
    105	   924.82	      324.71	    22.71	      5.94	          82.71	        1.00
    106	   932.92	      324.71	    22.71	      5.93	          82.40	        1.00
    107	   971.17	      399.66	    22.72	      6.00	          82.09	        1.00
    108	   979.27	      399.66	    22.72	      6.01	          83.36	        1.00
    109	   987.37	      403.32	    22.72	      6.06	          80.82	        1.00
    110	   995.47	      403.32	    22.72	      6.03	          83.52	        1.00
    111	  1003.57	      416.99	    22.73	      6.07	          82.86	        1.00
    112	  1011.67	      416.99	    22.73	      6.06	          83.09	        1.00
    113	  1019.77	      420.17	    22.73	      6.04	          81.36	        1.00
    114	  1027.87	      420.17	    22.74	      6.02	          83.75	        1.00
    115	  1035.97	      440.19	    22.73	      6.01	          82.40	        1.00
    116	  1044.07	      440.19	    22.73	      6.03	          82.67	        1.00
    117	  1052.17	      442.14	    22.74	      2.83	          81.47	        1.00
    118	  1060.27	      442.14	    22.72	      0.00	          82.09	        1.00
    119	  1068.37	      456.05	    22.71	      0.00	          82.90	        1.00
    120	  1076.47	      456.05	    22.70	      0.00	          82.59	        1.00
    121	  1084.57	      456.05	    22.71	      0.00	          82.63	        1.00
    122	  1092.67	      456.05	    22.68	      0.00	          82.82	        1.00
    123	  1100.77	      456.05	    22.68	      0.00	          82.55	        1.00
    124	  1108.87	      456.05	    22.67	      0.00	          82.67	        1.00
    125	  1116.97	      456.05	    22.67	      0.00	          82.75	        1.00
    126	  1125.07	      456.05	    22.67	      0.00	          82.71	        1.00
    127	  1133.17	      456.05	    22.68	      0.00	          82.59	        1.00
    128	  1141.27	      455.08	    22.69	      0.00	          82.67	        1.00
    129	  1149.37	      455.08	    22.70	      0.00	          82.55	        1.00
    130	  1157.47	      448.00	    22.69	      0.00	          82.55	        1.00
    131	  1165.57	      448.00	    22.70	      0.00	          82.63	        1.00
    132	  1173.67	      442.87	    22.70	      0.00	          82.55	        1.00
    133	  1181.77	      442.87	    22.70	      0.00	          82.55	        1.98
    134	  1189.87	      435.55	    22.70	      0.00	          82.59	        1.98
    135	  1197.97	      435.55	    22.71	      0.00	          82.55	        1.98
    136	  1206.07	      391.36	    22.71	      0.00	          82.55	        1.99
    137	  1214.17	      388.18	    22.71	      0.00	          82.44	        1.99
    138	  1222.27	      388.18	    22.71	      0.00	          82.52	        1.98
    139	  1230.37	      371.34	    22.71	      0.00	          82.48	        1.98
    140	  1238.47	      356.45	    22.71	      0.00	          82.52	        1.99
    141	  1246.57	      355.47	    22.73	      0.00	          82.52	        1.99
    142	  1254.67	      355.47	    22.73	      0.00	          82.52	        1.99
    143	  1262.77	      349.85	    22.73	      0.00	          82.59	        1.99
    144	  1270.87	      349.85	    22.73	      0.00	          82.48	        1.98
    145	  1278.97	      349.37	    22.73	      0.00	          82.59	        1.99
    146	  1287.07	      349.37	    22.73	      0.00	          82.59	        1.99
    147	  1295.17	      343.26	    22.73	      0.00	          82.55	        1.99
    148	  1303.27	      343.26	    22.74	      0.00	          82.59	        1.99
