 Number	Time[sec]	Conduct[uS]	TempWater[C]
      0	     0.00	       0.35	      22.10	
      1	     8.10	       0.35	      22.10	
      2	    16.20	       0.35	      22.10	
      3	    24.30	       0.35	      22.10	
      4	    32.40	       0.35	      22.10	
      5	    40.50	       0.35	      22.10	
      6	    48.60	       0.35	      22.10	
      7	    56.70	       0.36	      22.10	
      8	    64.80	       0.35	      22.10	
      9	    72.90	       0.35	      22.10	
     10	    81.00	       0.36	      22.10	
     11	    89.10	       0.35	      22.10	
     12	    97.20	       0.36	      22.10	
     13	   105.30	       0.36	      22.10	
     14	   113.40	       0.36	      22.10	
     15	   121.50	       0.36	      22.10	
     16	   129.60	       0.36	      22.10	
     17	   137.70	       0.36	      22.10	
     18	   145.80	       0.36	      22.10	
     19	   153.90	       0.36	      22.10	
     20	   162.00	       0.36	      22.10	
     21	   170.10	       0.36	      22.10	
     22	   178.20	       0.36	      22.10	
     23	   186.30	       0.36	      22.10	
     24	   194.40	       0.36	      22.10	
     25	   202.50	       0.36	      22.10	
     26	   210.60	       0.36	      22.10	
     27	   218.70	       0.36	      22.10	
     28	   226.80	       0.36	      22.10	
     29	   234.90	       0.36	      22.10	
     30	   243.00	       0.36	      22.10	
     31	   251.10	       0.36	      22.10	
     32	   259.20	       0.36	      22.10	
     33	   267.30	       0.36	      22.10	
     34	   275.40	       0.36	      22.10	
     35	   283.50	       0.36	      22.10	
     36	   291.60	       0.37	      22.10	
     37	   299.70	       0.37	      22.10	
     38	   307.80	       0.37	      22.10	
     39	   315.90	       0.37	      22.10	
     40	   324.00	       0.37	      22.10	
     41	   332.10	       0.37	      22.10	
     42	   340.20	       0.37	      22.10	
     43	   348.30	       0.37	      22.10	
     44	   356.40	       0.37	      22.10	
     45	   364.50	       0.37	      22.10	
     46	   372.60	       0.37	      22.10	
     47	   380.70	       0.37	      22.20	
     48	   388.80	       0.37	      22.10	
     49	   396.90	       0.37	      22.20	
     50	   405.00	       0.37	      22.20	
     51	   413.10	       0.37	      22.20	
     52	   421.20	       0.37	      22.20	
     53	   429.30	       0.37	      22.20	
     54	   437.40	       0.37	      22.20	
     55	   445.50	       0.37	      22.20	
     56	   453.60	       0.37	      22.20	
     57	   461.70	       0.37	      22.20	
     58	   469.80	       0.38	      22.20	
     59	   477.90	       0.38	      22.20	
     60	   486.00	       0.37	      22.20	
     61	   494.10	       0.38	      22.20	
     62	   502.20	       0.38	      22.20	
     63	   510.30	       0.37	      22.20	
     64	   518.40	       0.38	      22.20	
     65	   526.50	       0.38	      22.20	
     66	   534.60	       0.38	      22.20	
     67	   542.70	       0.38	      22.20	
     68	   550.80	       0.38	      22.20	
     69	   558.90	       0.38	      22.20	
     70	   567.00	       0.38	      22.20	
     71	   575.10	       0.37	      22.20	
     72	   583.20	       0.38	      22.20	
     73	   591.30	       0.38	      22.20	
     74	   599.40	       0.38	      22.20	
     75	   607.50	       0.38	      22.20	
     76	   615.60	       0.37	      22.20	
     77	   623.70	       0.38	      22.20	
     78	   631.80	       0.38	      22.20	
     79	   639.90	       0.38	      22.20	
     80	   648.00	       0.38	      22.20	
     81	   656.10	       0.38	      22.20	
     82	   664.20	       0.38	      22.20	
     83	   672.30	       0.38	      22.20	
     84	   680.40	       0.38	      22.20	
     85	   688.50	       0.38	      22.20	
     86	   696.60	       0.38	      22.20	
     87	   704.70	       0.38	      22.20	
     88	   712.80	       0.38	      22.20	
     89	   720.90	       0.38	      22.20	
     90	   729.00	       0.38	      22.20	
     91	   737.10	       0.38	      22.20	
     92	   745.20	       0.38	      22.20	
     93	   753.30	       0.38	      22.20	
     94	   761.40	       0.38	      22.20	
     95	   769.50	       0.38	      22.20	
     96	   777.60	       0.38	      22.20	
     97	   785.70	       0.39	      22.20	
     98	   793.80	       0.39	      22.20	
     99	   801.90	       0.42	      22.20	
    100	   810.00	       0.43	      22.20	
    101	   818.10	       0.41	      22.20	
    102	   826.20	       0.41	      22.20	
    103	   834.30	       0.42	      22.20	
    104	   842.40	       0.42	      22.20	
    105	   850.50	       0.42	      22.20	
    106	   858.60	       0.42	      22.20	
    107	   866.70	       0.41	      22.20	
    108	   874.80	       0.42	      22.20	
    109	   882.90	       0.42	      22.30	
    110	   891.00	       0.42	      22.30	
    111	   899.10	       0.42	      22.30	
    112	   907.20	       0.42	      22.30	
    113	   915.30	       0.42	      22.30	
    114	   923.40	       0.42	      22.30	
    115	   931.50	       0.41	      22.30	
    116	   939.60	       0.42	      22.30	
    117	   947.70	       0.42	      22.30	
    118	   955.80	       0.42	      22.30	
    119	   963.90	       0.42	      22.30	
    120	   972.00	       0.42	      22.30	
    121	   980.10	       0.42	      22.30	
    122	   988.20	       0.42	      22.30	
    123	   996.30	       0.42	      22.30	
    124	  1004.40	       0.42	      22.30	
    125	  1012.50	       0.42	      22.30	
    126	  1020.60	       0.42	      22.30	
    127	  1028.70	       0.42	      22.30	
    128	  1036.80	       0.42	      22.30	
    129	  1044.90	       0.42	      22.30	
    130	  1053.00	       0.42	      22.30	
    131	  1061.10	       0.42	      22.30	
    132	  1069.20	       0.42	      22.30	
    133	  1077.30	       0.42	      22.30	
    134	  1085.40	       0.42	      22.30	
    135	  1093.50	       0.42	      22.30	
    136	  1101.60	       0.42	      22.30	
    137	  1109.70	       0.42	      22.30	
    138	  1117.80	       0.42	      22.30	
    139	  1125.90	       0.42	      22.30	
    140	  1134.00	       0.42	      22.30	
    141	  1142.10	       0.42	      22.30	
    142	  1150.20	       0.42	      22.30	
    143	  1158.30	       0.42	      22.30	
    144	  1166.40	       0.42	      22.30	
    145	  1174.50	       0.42	      22.30	
    146	  1182.60	       0.42	      22.30	
    147	  1190.70	       0.42	      22.30	
    148	  1198.80	       0.42	      22.30	
    149	  1206.90	       0.42	      22.30	
    150	  1215.00	       0.42	      22.30	
    151	  1223.10	       0.42	      22.30	
    152	  1231.20	       0.42	      22.30	
    153	  1239.30	       0.42	      22.30	
    154	  1247.40	       0.42	      22.30	
    155	  1255.50	       0.43	      22.30	
    156	  1263.60	       0.42	      22.30	
    157	  1271.70	       0.43	      22.30	
    158	  1279.80	       0.43	      22.30	
    159	  1287.90	       0.44	      22.30	
    160	  1296.00	       0.45	      22.30	
    161	  1304.10	       0.45	      22.30	
    162	  1312.20	       0.49	      22.30	
    163	  1320.30	       0.58	      22.30	
    164	  1328.40	       0.64	      22.30	
    165	  1336.50	       0.83	      22.40	
    166	  1344.60	       0.95	      22.40	
    167	  1352.70	       1.16	      22.40	
    168	  1360.80	       1.46	      22.40	
    169	  1368.90	       1.51	      22.40	
    170	  1377.00	       1.90	      22.40	
    171	  1385.10	       2.03	      22.40	
    172	  1393.20	       2.21	      22.40	
    173	  1401.30	       2.46	      22.40	
    174	  1409.40	       2.57	      22.40	
    175	  1417.50	       2.86	      22.40	
    176	  1425.60	       3.01	      22.40	
    177	  1433.70	       3.04	      22.40	
    178	  1441.80	       3.24	      22.40	
    179	  1449.90	       3.44	      22.40	
    180	  1458.00	       3.55	      22.40	
    181	  1466.10	       3.68	      22.40	
    182	  1474.20	       3.76	      22.40	
    183	  1482.30	       3.95	      22.40	
    184	  1490.40	       4.08	      22.40	
    185	  1498.50	       4.14	      22.40	
    186	  1506.60	       4.34	      22.40	
    187	  1514.70	       4.34	      22.40	
    188	  1522.80	       4.53	      22.40	
    189	  1530.90	       4.66	      22.40	
    190	  1539.00	       4.74	      22.40	
    191	  1547.10	       4.82	      22.40	
    192	  1555.20	       4.96	      22.40	
    193	  1563.30	       5.01	      22.40	
    194	  1571.40	       5.18	      22.40	
    195	  1579.50	       5.22	      22.40	
    196	  1587.60	       5.29	      22.40	
    197	  1595.70	       5.39	      22.40	
