        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-8.314618	
1.000000	8.100000	-8.364909	
2.000000	16.900000	-8.392636	
3.000000	68.510002	-8.555343	
4.000000	76.610001	-8.563307	
5.000000	84.709999	-8.607241	
6.000000	92.809998	-8.627283	
7.000000	100.910004	-8.634154	
8.000000	109.010002	-8.637740	
9.000000	117.110001	-8.661431	
10.000000	125.209999	-8.650066	
11.000000	133.309998	-8.680788	
12.000000	141.410004	-8.685817	
13.000000	149.509995	-8.729054	
14.000000	157.610001	-8.726809	
15.000000	165.710007	-8.728857	
16.000000	173.809998	-8.733261	
17.000000	181.910004	-8.756148	
18.000000	190.009995	-8.779225	
19.000000	198.110001	-8.788343	
20.000000	206.210007	-8.793594	
21.000000	214.309998	-8.782976	
22.000000	222.410004	-8.797338	
23.000000	230.509995	-8.824424	
24.000000	238.610001	-8.820850	
25.000000	246.710007	-8.848125	
26.000000	254.809998	-8.854016	
27.000000	262.910004	-8.875708	
28.000000	271.010010	-8.875235	
29.000000	279.109985	-8.873792	
30.000000	287.209991	-8.896266	
31.000000	303.200012	-8.919149	
32.000000	311.299988	-8.916462	
33.000000	319.399994	-8.920218	
34.000000	327.500000	-8.923433	
35.000000	335.600006	-8.922316	
36.000000	343.700012	-8.951988	
37.000000	351.799988	-8.931383	
38.000000	359.899994	-8.938313	
39.000000	368.000000	-8.944315	
40.000000	381.010010	-8.955011	
41.000000	389.109985	-8.965292	
42.000000	397.209991	-8.974368	
43.000000	405.309998	-8.977173	
44.000000	420.829987	-8.986998	
45.000000	428.929993	-8.998429	
46.000000	437.029999	-8.997223	
47.000000	445.130005	-9.015330	
48.000000	453.230011	-9.006790	
49.000000	461.329987	-9.013764	
50.000000	469.429993	-8.991879	
51.000000	477.529999	-9.019617	
52.000000	485.630005	-9.013741	
53.000000	493.730011	-9.023720	
54.000000	501.829987	-9.024119	
55.000000	509.929993	-9.024567	
56.000000	518.030029	-9.011592	
57.000000	526.130005	-9.030080	
58.000000	534.229980	-9.048604	
59.000000	542.330017	-9.034366	
60.000000	550.429993	-9.058904	
61.000000	558.530029	-9.030824	
62.000000	566.630005	-9.045599	
63.000000	574.729980	-9.046618	
64.000000	582.830017	-9.060192	
65.000000	590.929993	-9.066045	
66.000000	599.030029	-9.057439	
67.000000	607.130005	-9.064263	
68.000000	615.229980	-9.072708	
69.000000	623.330017	-9.068806	
70.000000	631.429993	-9.071905	
71.000000	639.530029	-9.084178	
72.000000	647.630005	-9.072531	
73.000000	655.729980	-9.083451	
74.000000	663.830017	-9.080345	
75.000000	671.929993	-9.111281	
76.000000	680.030029	-9.089849	
77.000000	688.130005	-9.087658	
78.000000	696.229980	-9.094169	
79.000000	704.330017	-9.109929	
80.000000	713.059998	-9.097200	
81.000000	721.169983	-9.114955	
82.000000	730.219971	-9.118173	
83.000000	738.320007	-9.104736	
84.000000	746.419983	-9.088204	
85.000000	754.580017	-9.097173	
