 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
0.000000 	339.320007 	0.000000 	0.000000 	0.000000 	0.000000 	-1.#IND00 	-1.#IND00 	
1.000000 	339.690002 	20.880585 	82.222916 	2.682198 	1.256976 	2.052183 	2.810111 	
2.000000 	340.070007 	21.204958 	83.301041 	2.749527 	1.287545 	2.042806 	2.801497 	
3.000000 	340.450012 	21.391708 	84.438538 	2.747823 	1.247872 	2.052195 	2.841563 	
4.000000 	340.829987 	21.360708 	85.688545 	2.716572 	1.229936 	2.062182 	2.854591 	
5.000000 	341.209991 	21.458874 	87.728127 	2.693464 	1.190352 	2.075310 	2.891889 	
6.000000 	341.589996 	21.008625 	88.903122 	2.691194 	1.259374 	2.054948 	2.814318 	
7.000000 	341.959991 	20.894667 	89.720833 	2.639394 	1.205797 	2.068945 	2.852353 	
8.000000 	342.339996 	20.859667 	90.527084 	2.658144 	1.209330 	2.060189 	2.847751 	
9.000000 	342.720001 	20.921875 	91.228127 	2.696306 	1.177311 	2.048913 	2.877562 	
10.000000 	343.100006 	20.750668 	92.120834 	2.603599 	1.070472 	2.075684 	2.964479 	
11.000000 	343.480011 	20.652292 	92.723961 	2.584565 	1.084737 	2.078269 	2.946489 	
12.000000 	343.859985 	20.580791 	93.073959 	2.560131 	1.104302 	2.084300 	2.925145 	
13.000000 	344.230011 	20.534082 	92.985420 	2.701515 	1.161322 	2.028273 	2.872527 	
14.000000 	344.609985 	20.571251 	92.856247 	2.742045 	1.230163 	2.015191 	2.816748 	
15.000000 	344.989990 	20.555126 	92.846878 	2.726420 	1.203125 	2.020121 	2.838188 	
16.000000 	345.369995 	20.477291 	92.842705 	2.640247 	1.114901 	2.048444 	2.910551 	
17.000000 	345.750000 	20.428541 	92.773956 	2.559564 	1.074954 	2.077096 	2.944655 	
18.000000 	346.130005 	20.369793 	92.667709 	2.424905 	1.110554 	2.128261 	2.909194 	
19.000000 	346.500000 	20.411875 	92.509377 	2.511081 	1.140082 	2.095404 	2.885016 	
20.000000 	346.880005 	20.477001 	92.250000 	2.646024 	1.213045 	2.046244 	2.826169 	
21.000000 	347.260010 	20.523874 	92.403122 	2.624716 	1.137636 	2.056616 	2.892636 	
22.000000 	347.640015 	20.455791 	92.592705 	2.558429 	1.099684 	2.078873 	2.923243 	
23.000000 	348.019989 	20.584002 	94.081253 	2.578978 	1.030707 	2.077121 	2.994269 	
24.000000 	348.390015 	20.357834 	93.460419 	2.777652 	1.303171 	1.991860 	2.748666 	
25.000000 	348.769989 	22.074249 	92.681252 	3.591478 	2.217663 	1.815848 	2.297958 	
26.000000 	349.149994 	22.590834 	92.197914 	4.041290 	2.774911 	1.720980 	2.096926 	
27.000000 	349.529999 	22.882000 	91.931252 	4.129546 	2.924728 	1.712183 	2.057149 	
28.000000 	349.899994 	22.993250 	92.043747 	4.180114 	2.995924 	1.704862 	2.037948 	
29.000000 	350.279999 	22.944332 	92.235420 	4.098106 	2.987409 	1.722546 	2.038664 	
30.000000 	350.660004 	22.869541 	92.111458 	4.160699 	3.006476 	1.704123 	2.029037 	
31.000000 	351.040009 	22.935833 	92.516663 	4.144697 	2.939312 	1.710871 	2.054525 	
32.000000 	351.420013 	22.751917 	92.389587 	4.102462 	2.961504 	1.713062 	2.038952 	
33.000000 	351.790009 	22.865791 	92.223961 	4.146496 	2.932563 	1.707378 	2.053765 	
34.000000 	352.170013 	23.027416 	92.145836 	4.188825 	3.003622 	1.704265 	2.036867 	
35.000000 	352.549988 	23.015709 	92.188538 	4.202937 	2.976676 	1.700394 	2.045370 	
36.000000 	352.929993 	23.145624 	92.703125 	4.192898 	3.038723 	1.708413 	2.030368 	
37.000000 	353.299988 	22.980875 	93.015625 	4.249148 	3.064810 	1.687944 	2.014677 	
38.000000 	353.679993 	22.864540 	92.930206 	4.233995 	3.049683 	1.686441 	2.014550 	
39.000000 	354.059998 	22.887583 	92.666664 	4.283333 	3.074095 	1.675863 	2.007584 	
40.000000 	354.429993 	23.010332 	92.516670 	4.271968 	3.100181 	1.683869 	2.004483 	
41.000000 	354.809998 	23.276667 	93.158333 	4.289394 	3.155254 	1.691306 	1.998382 	
42.000000 	355.190002 	22.824417 	93.070831 	4.227462 	3.046558 	1.686229 	2.013819 	
43.000000 	355.570007 	22.940290 	92.817711 	4.256155 	3.064357 	1.684529 	2.013057 	
44.000000 	355.940002 	23.075918 	92.883331 	4.336553 	3.153624 	1.671710 	1.990237 	
